Country Name,Country Code,Year,women_parliament,arms_imports,tax_gdp,military_population,mil_spending,Region,IncomeGroup
Spain,ESP,1990,14.6,709000000,NA,1.68644271904326,5.31524440454906,Europe & Central Asia,High income
Estonia,EST,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Ethiopia,ETH,1990,NA,3000000,8.6391896656738,1.24631632515356,30.771634160196896,Sub-Saharan Africa,Low income
Finland,FIN,1990,31.5,90000000,24.4185815241011,1.18187852347535,3.2151112563916997,Europe & Central Asia,High income
Fiji,FJI,1990,NA,1000000,22.7570707070707,1.85815581751423,NA,East Asia & Pacific,Upper middle income
France,FRA,1990,6.9,60000000,18.7342473161179,2.12025761978183,6.69348731541083,Europe & Central Asia,High income
Faroe Islands,FRO,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1990,NA,14000000,NA,NA,NA,East Asia & Pacific,Lower middle income
Gabon,GAB,1990,13.3,29000000,NA,3.56639033745978,NA,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1990,6.3,117000000,24.1512945995683,1.06063516963603,9.42880542025459,Europe & Central Asia,High income
Georgia,GEO,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Ghana,GHA,1990,NA,4000000,11.4367986938714,0.145439572524008,2.64882352941176,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Guinea,GIN,1990,NA,1000000,12.1055381993752,0.652697489943019,NA,Sub-Saharan Africa,Low income
"Gambia, The",GMB,1990,7.8,NA,18.2047799785766,0.647960059741918,NA,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1990,20,20000000,NA,3.14754098360656,NA,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1990,13.3,NA,NA,0.709703060239596,NA,Sub-Saharan Africa,Upper middle income
Greece,GRC,1990,6.7,903000000,15.121290735755,4.7807138866419,8.59184499710816,Europe & Central Asia,High income
Grenada,GRD,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,Upper middle income
Greenland,GRL,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Guatemala,GTM,1990,7,0,6.86521167042449,1.38097238440619,NA,Latin America & Caribbean,Upper middle income
Guam,GUM,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
Guyana,GUY,1990,36.9,NA,NA,1.41694238003812,NA,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
Honduras,HND,1990,10.2,NA,NA,1.01695030163876,8.30824804334738,Latin America & Caribbean,Lower middle income
Croatia,HRV,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Haiti,HTI,1990,NA,NA,NA,0.297115785650273,NA,Latin America & Caribbean,Low income
Hungary,HUN,1990,20.7,14000000,NA,2.08454053732802,NA,Europe & Central Asia,High income
Indonesia,IDN,1990,12.4,202000000,19.1370837619352,0.387896207363336,NA,East Asia & Pacific,Lower middle income
Isle of Man,IMN,1990,3.75092630712227,NA,NA,NA,NA,Europe & Central Asia,High income
India,IND,1990,5,2715000000,9.99359139611536,0.396622443851766,12.400575535698701,South Asia,Lower middle income
Ireland,IRL,1990,7.8,NA,25.3295849280516,0.907828202590942,2.73923229410705,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1990,1.5,454000000,5.57223654550096,3.09557924549196,14.4785054445993,Middle East & North Africa,Upper middle income
Iraq,IRQ,1990,10.8,779000000,NA,34.8518458064078,NA,Middle East & North Africa,Upper middle income
Iceland,ISL,1990,20.6,NA,23.4722253039807,NA,0,Europe & Central Asia,High income
Israel,ISR,1990,6.7,81000000,26.8410588717588,10.0547081964923,NA,Middle East & North Africa,High income
Italy,ITA,1990,12.9,158000000,24.1777296771753,2.06135426543118,3.28922619398604,Europe & Central Asia,High income
Jamaica,JAM,1990,5,NA,23.4864313836267,0.277374557356436,3.1370165121013303,Latin America & Caribbean,Upper middle income
Jordan,JOR,1990,0,16000000,18.007278971136,12.8483344061693,17.5122749590835,Middle East & North Africa,Upper middle income
Japan,JPN,1990,1.4,2703000000,12.94728824526,0.391380321212718,3.0686414036905503,East Asia & Pacific,High income
Kazakhstan,KAZ,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Kenya,KEN,1990,1.1,42000000,NA,0.228616733876176,8.862438013935101,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Lower middle income
Cambodia,KHM,1990,NA,45000000,NA,2.79700021726698,NA,East Asia & Pacific,Lower middle income
Kiribati,KIR,1990,0,NA,NA,NA,NA,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1990,6.7,NA,14.3863171711814,NA,NA,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1990,2,1211000000,13.6122031861447,3.38851345028709,NA,East Asia & Pacific,High income
Kuwait,KWT,1990,NA,325000000,1.54507084715104,0.78220855467973,52.5620170801139,Middle East & North Africa,High income
Lao PDR,LAO,1990,6.3,8000000,NA,2.85290277670434,NA,East Asia & Pacific,Lower middle income
Lebanon,LBN,1990,0,NA,NA,4.68004726847741,19.1442888346396,Middle East & North Africa,Upper middle income
Liberia,LBR,1990,NA,3000000,NA,1.25441003528028,NA,Sub-Saharan Africa,Low income
Libya,LBY,1990,NA,10000000,NA,7.23675463530964,NA,Middle East & North Africa,Upper middle income
St. Lucia,LCA,1990,0,NA,NA,NA,NA,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,1990,4,NA,NA,NA,NA,Europe & Central Asia,High income
Sri Lanka,LKA,1990,4.9,19000000,19.0208338512791,0.299159891035089,7.5066623920492095,South Asia,Upper middle income
Lesotho,LSO,1990,NA,NA,NA,0.28724901617212,10.9118673647469,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Luxembourg,LUX,1990,13.3,NA,22.0973424345882,0.624984375390615,NA,Europe & Central Asia,High income
Latvia,LVA,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
"Macao SAR, China",MAC,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
St. Martin (French part),MAF,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Morocco,MAR,1990,0,137000000,18.676721475858,2.58205061693134,14.5002137946913,Middle East & North Africa,Lower middle income
Monaco,MCO,1990,11.1,NA,NA,NA,NA,Europe & Central Asia,High income
Moldova,MDA,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Lower middle income
Madagascar,MDG,1990,6.5,NA,9.43055524729721,0.384671183072709,7.232834773734729,Sub-Saharan Africa,Low income
Maldives,MDV,1990,6.3,NA,13.9623192639112,NA,NA,South Asia,Upper middle income
Mexico,MEX,1990,12,34000000,11.8483646611837,0.586203090563185,1.8839928738335399,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1990,NA,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
North Macedonia,MKD,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Mali,MLI,1990,NA,1000000,NA,0.413013089337908,NA,Sub-Saharan Africa,Low income
Malta,MLT,1990,2.9,NA,42.4343268358167,1.4745782706146,NA,Middle East & North Africa,High income
Myanmar,MMR,1990,NA,266000000,6.19778414572987,1.20619955103155,NA,East Asia & Pacific,Lower middle income
Montenegro,MNE,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Mongolia,MNG,1990,24.9,NA,NA,4.33422862243315,8.8213381016242,East Asia & Pacific,Lower middle income
Northern Mariana Islands,MNP,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
Mozambique,MOZ,1990,15.7,NA,NA,1.10991297428502,11.3913043478261,Sub-Saharan Africa,Low income
Mauritania,MRT,1990,NA,16000000,NA,2.97626863450546,NA,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1990,7.1,6000000,19.6468052738337,0.223513634331694,1.44858325374085,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1990,9.8,10000000,NA,0.173967502870464,NA,Sub-Saharan Africa,Low income
Malaysia,MYS,1990,5.1,NA,NA,1.83794161849139,7.802364041947641,East Asia & Pacific,Upper middle income
Namibia,NAM,1990,6.9,NA,23.0450917438871,NA,NA,Sub-Saharan Africa,Upper middle income
New Caledonia,NCL,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
Niger,NER,1990,5.4,NA,NA,0.152730469514846,NA,Sub-Saharan Africa,Low income
Nigeria,NGA,1990,NA,18000000,NA,0.320962099600208,NA,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1990,14.8,102000000,26.2658373469951,2.05408101882419,NA,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1990,21.3,276000000,23.2862181112213,1.50465139831305,4.73341309969509,Europe & Central Asia,High income
Norway,NOR,1990,35.8,369000000,21.3045101752327,2.37439010763902,5.84387013744136,Europe & Central Asia,High income
Nepal,NPL,1990,6.1,NA,6.99669296820608,0.374654956165905,NA,South Asia,Low income
Nauru,NRU,1990,5.6,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
New Zealand,NZL,1990,14.4,23000000,NA,0.678436512219567,4.66738621107221,East Asia & Pacific,High income
Oman,OMN,1990,NA,59000000,NA,5.73555849104626,29.6130319148936,Middle East & North Africa,High income
Pakistan,PAK,1990,10.1,635000000,NA,1.76828513732872,NA,South Asia,Lower middle income
Panama,PAN,1990,7.5,NA,NA,1.18486602935236,3.6080947680157895,Latin America & Caribbean,High income
Peru,PER,1990,5.6,97000000,10.7238952091481,1.58690883995821,NA,Latin America & Caribbean,Upper middle income
Philippines,PHL,1990,9.1,33000000,14.0823235741067,0.47922839480119,10.0146771672634,East Asia & Pacific,Lower middle income
Palau,PLW,1990,NA,2000000,NA,NA,NA,East Asia & Pacific,High income
Papua New Guinea,PNG,1990,0,4000000,20.0734672648072,0.205243667848015,5.88340807174888,East Asia & Pacific,Lower middle income
Poland,POL,1990,13.5,270000000,NA,1.77592511655714,NA,Europe & Central Asia,High income
Puerto Rico,PRI,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
"Korea, Dem. People’s Rep.",PRK,1990,21.1,295000000,NA,9.81187768676807,NA,East Asia & Pacific,Low income
Portugal,PRT,1990,7.6,73000000,17.6685021177264,1.82789698560878,5.59857232836448,Europe & Central Asia,High income
Paraguay,PRY,1990,5.6,6000000,NA,0.936451795851167,23.0381808713417,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,1990,NA,NA,NA,NA,NA,Middle East & North Africa,Lower middle income
French Polynesia,PYF,1990,NA,NA,NA,NA,NA,East Asia & Pacific,High income
Qatar,QAT,1990,NA,5000000,NA,3.98555056757863,25.2522151065883,Middle East & North Africa,High income
Romania,ROU,1990,34.4,606000000,23.0563002680965,1.04082813573225,11.8212121212121,Europe & Central Asia,Upper middle income
Russian Federation,RUS,1990,15.6,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Rwanda,RWA,1990,17.1,1000000,8.78380627032784,0.182073305140294,NA,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,1990,NA,2073000000,NA,2.89626510744449,35.4435866022514,Middle East & North Africa,High income
Sudan,SDN,1990,NA,3000000,NA,1.18659368202758,17.0967741935484,Sub-Saharan Africa,Lower middle income
Senegal,SEN,1990,12.5,NA,NA,0.857047357580155,NA,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1990,4.9,527000000,14.5462695925654,3.71107185032717,25.79575073059,East Asia & Pacific,High income
Solomon Islands,SLB,1990,0,NA,NA,NA,NA,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,1990,NA,NA,NA,0.318632886482573,NA,Sub-Saharan Africa,Low income
El Salvador,SLV,1990,11.7,NA,NA,2.86176628214934,22.8254443442144,Latin America & Caribbean,Lower middle income
San Marino,SMR,1990,11.7,NA,NA,NA,NA,Europe & Central Asia,High income
Somalia,SOM,1990,4,16000000,NA,2.3538803717929,NA,Sub-Saharan Africa,Low income
Serbia,SRB,1990,NA,NA,NA,5.41768712315095,NA,Europe & Central Asia,Upper middle income
South Sudan,SSD,1990,NA,NA,NA,NA,NA,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,1990,11.8,NA,NA,2.93109007239792,NA,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1990,7.8,NA,NA,3.04943128106608,NA,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Slovenia,SVN,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Sweden,SWE,1990,38.4,90000000,21.7984740062422,1.37036321793329,4.1569050660146,Europe & Central Asia,High income
Eswatini,SWZ,1990,3.6,NA,NA,1.46140431211699,6.32302405498282,Sub-Saharan Africa,Lower middle income
Sint Maarten (Dutch part),SXM,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Seychelles,SYC,1990,16,0,NA,NA,8.74172185430464,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1990,9.2,739000000,NA,11.36868045565,24.2995213670706,Middle East & North Africa,Low income
Turks and Caicos Islands,TCA,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Chad,TCD,1990,NA,NA,NA,2.20466622014827,NA,Sub-Saharan Africa,Low income
Togo,TGO,1990,5.2,NA,NA,0.483471616287917,10.8661801252005,Sub-Saharan Africa,Low income
Thailand,THA,1990,2.8,230000000,16.9073230109204,0.947003983908562,NA,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Low income
Turkmenistan,TKM,1990,26,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Timor-Leste,TLS,1990,NA,NA,NA,NA,NA,East Asia & Pacific,Lower middle income
Tonga,TON,1990,0,6000000,NA,NA,NA,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1990,16.7,NA,NA,0.431434303341459,NA,Latin America & Caribbean,High income
Tunisia,TUN,1990,4.3,4000000,19.9534010743641,1.38317505858734,NA,Middle East & North Africa,Lower middle income
Turkey,TUR,1990,1.3,1288000000,11.5583312683401,3.90893195017123,NA,Europe & Central Asia,Upper middle income
Tuvalu,TUV,1990,7.7,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
Tanzania,TZA,1990,NA,NA,NA,0.334728733742121,NA,Sub-Saharan Africa,Low income
Uganda,UGA,1990,12.2,NA,NA,0.951846105521659,NA,Sub-Saharan Africa,Low income
Ukraine,UKR,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Lower middle income
Uruguay,URY,1990,6.1,41000000,16.2025863999242,1.80984992724403,NA,Latin America & Caribbean,High income
United States,USA,1990,6.6,357000000,10.4652847558268,1.70372254075017,NA,North America,High income
Uzbekistan,UZB,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1990,9.5,NA,18.2592477862654,NA,NA,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1990,10,170000000,NA,0.970413515194864,NA,Latin America & Caribbean,Upper middle income
British Virgin Islands,VGB,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Virgin Islands (U.S.),VIR,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Vietnam,VNM,1990,17.7,116000000,NA,3.18982735499941,NA,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1990,4.3,NA,21.5208715348938,NA,NA,East Asia & Pacific,Lower middle income
Samoa,WSM,1990,0,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
Kosovo,XKX,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
"Yemen, Rep.",YEM,1990,4.1,78000000,NA,5.07247852883744,24.595280385688902,Middle East & North Africa,Low income
South Africa,ZAF,1990,2.8,13000000,23.1119406230036,0.706287101884656,NA,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1990,6.6,NA,19.4828833598024,0.473429788734916,NA,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1990,11,2000000,NA,0.972549256918337,NA,Sub-Saharan Africa,Lower middle income
Aruba,ABW,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Afghanistan,AFG,1991,NA,1438000000,NA,1.03011742880858,NA,South Asia,Low income
Angola,AGO,1991,NA,NA,NA,2.99988420446971,NA,Sub-Saharan Africa,Lower middle income
Albania,ALB,1991,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Andorra,AND,1991,NA,NA,NA,NA,NA,Europe & Central Asia,High income
United Arab Emirates,ARE,1991,NA,235000000,NA,6.68635426533682,NA,Middle East & North Africa,High income
Argentina,ARG,1991,NA,NA,5.00823654744009,0.511071636911346,NA,Latin America & Caribbean,Upper middle income
Armenia,ARM,1991,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
American Samoa,ASM,1991,NA,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Australia,AUS,1991,NA,213000000,22.3744082918756,0.796029871255045,6.54926201406241,East Asia & Pacific,High income
Austria,AUT,1991,NA,6000000,18.1671785806239,1.21631397707856,2.41118378863666,Europe & Central Asia,High income
Azerbaijan,AZE,1991,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Burundi,BDI,1991,NA,NA,15.142662979358,0.465995891469557,16.3792557570129,Sub-Saharan Africa,Low income
Belgium,BEL,1991,NA,134000000,NA,2.50149408545252,4.06093424205645,Europe & Central Asia,High income
Benin,BEN,1991,NA,NA,NA,0.346147893170848,NA,Sub-Saharan Africa,Low income
Burkina Faso,BFA,1991,NA,2000000,NA,0.252346570761511,14.0363938322333,Sub-Saharan Africa,Low income
Bangladesh,BGD,1991,NA,79000000,NA,0.306822607871158,10.4265603011602,South Asia,Lower middle income
Bulgaria,BGR,1991,NA,340000000,22.3338246131172,2.67867983642529,NA,Europe & Central Asia,Upper middle income
Bahrain,BHR,1991,NA,68000000,5.04119375468111,3.6003600360036,16.9811320754717,Middle East & North Africa,High income
"Bahamas, The",BHS,1991,NA,3000000,13.6379999742861,NA,NA,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1991,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Belarus,BLR,1991,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Belize,BLZ,1991,NA,NA,20.7109742461983,1.57492715961887,NA,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1991,NA,NA,NA,NA,NA,North America,High income
Bolivia,BOL,1991,NA,11000000,7.93272969948769,1.13322113299449,11.1183095546909,Latin America & Caribbean,Lower middle income
Brazil,BRA,1991,NA,168000000,9.52972648557028,0.476385044300095,NA,Latin America & Caribbean,Upper middle income
Barbados,BRB,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1991,NA,3000000,NA,3.51521649339579,15.240833932422701,East Asia & Pacific,High income
Bhutan,BTN,1991,NA,NA,4.95247801880619,NA,NA,South Asia,Lower middle income
Botswana,BWA,1991,NA,2000000,25.557193488693,1.56236399063474,10.4204817474566,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1991,NA,NA,NA,0.338743060001558,6.79529359281771,Sub-Saharan Africa,Low income
Canada,CAN,1991,NA,751000000,14.4495626046653,0.583467146321891,3.59879493039684,North America,High income
Switzerland,CHE,1991,NA,476000000,7.85051962641804,0.570413087972736,5.11686165818298,Europe & Central Asia,High income
Channel Islands,CHI,1991,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Chile,CHL,1991,NA,111000000,15.2279630659371,1.72094297731931,12.821056950250801,Latin America & Caribbean,High income
China,CHN,1991,NA,481000000,NA,0.492359717307853,14.473597563474,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1991,NA,NA,NA,0.328726631371653,NA,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1991,NA,NA,8.90515524474841,0.447006203887352,NA,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1991,NA,NA,NA,0.428805066074573,NA,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1991,NA,NA,NA,0.987877643670339,NA,Sub-Saharan Africa,Lower middle income
Colombia,COL,1991,NA,72000000,NA,0.755662920753973,8.97705173084403,Latin America & Caribbean,Upper middle income
Comoros,COM,1991,NA,NA,NA,NA,NA,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1991,NA,NA,NA,0.864879824948323,NA,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1991,NA,NA,10.6266301805556,0.665302795935,0,Latin America & Caribbean,Upper middle income
Cuba,CUB,1991,NA,159000000,NA,7.10492830840269,NA,Latin America & Caribbean,Upper middle income
Curacao,CUW,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Cayman Islands,CYM,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Cyprus,CYP,1991,NA,82000000,29.0124317653202,2.8393603489006,NA,Europe & Central Asia,High income
Czech Republic,CZE,1991,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Germany,DEU,1991,NA,694000000,11.6297137091689,1.14111169498409,4.57866204203138,Europe & Central Asia,High income
Djibouti,DJI,1991,NA,1000000,NA,1.43980879339224,17.6706198954846,Middle East & North Africa,Lower middle income
Dominica,DMA,1991,NA,NA,NA,NA,NA,Latin America & Caribbean,Upper middle income
Denmark,DNK,1991,NA,151000000,29.1293907906124,1.04351854975966,3.46559548383695,Europe & Central Asia,High income
